COLLOCATION / COMPLETION FEATURES the MAEMM fails on
(detector: the token AFTER the peak is the same across examples -> the feature encodes a continuation)

feat        peak    fire%   maemm  fires on     next token    typical span
9109       128.0  0.0457%    0.00  ' Free'      ' Documentation' ' the GNU Free'  [93%]
8072       145.0  0.0426%    0.00  'icio'       '.us'         ' Del.icio.us D'  [96%]
7958       205.0  0.0060%    0.00  'her'        'st'          ' at Amherst is'  [100%]
7860       110.0  0.0172%    8.73  ' entry'     ' »'          ' of this entry »\t'  [100%]
7651        81.0  0.0049%    3.16  '-up'        ' comments'   ' of follow-up comments by'  [96%]
7156        99.0  0.0125%    0.00  ' meaning'   ' of'         ' within the meaning of the'  [100%]
4347       227.0  0.0025%    0.00  'PR'         'New'         '5 /PRNewswire'  [100%]
4217       152.0  0.0044%    1.64  ' dun'       'no'          '. I dunno.'  [100%]
2722       104.0  0.0060%    1.24  ' van'       ' Pers'       ', Robin van Persie'  [97%]
2414       166.0  0.3997%    0.00  ' prev'      ')'           '(cur | prev) '  [100%]
1878       140.0  0.0350%    0.00  ' |'         ' Next'       ' « Prev | Next »'  [100%]
947        177.0  0.0053%    0.00  'Photo'      ' by'         '. (Photo'  [100%]
373         72.0  0.0177%    0.00  '.'          ' Date'       '....Pub. Date:'  [96%]
238        128.0  0.0031%    0.00  ' posts'     ' by'         ' of new posts by email'  [97%]
