key,value,se,lo,hi,n,status,run,source,date,note
ood.ell.base.cos.bo8,0.1854,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,untrained base under the same injection (2026-09-16_base-control@vllm:paper0923)
ood.ell.base.bpb,0.5237,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,bits per byte of the arm's own text under the untrained base (precompute/nll.py)
ood.ell.ex.lid,0.355,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,fastText lid218e top-1 rollout; ceiling 0.843
ood.ell.corp10.lid,0.843,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"the classifier's rate on the arm's OWN corpus top-1 windows, i.e. its ceiling"
ood.hin.diff.cos.bo8,-0.0327,0.0042,-0.0410,-0.0246,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,bo8 centred minus own-domain corpus top-1; corpus at 10M
ood.hin.diff.verdict,reversed,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"three-state verdict on the bo8 pair, 10,000-resample percentile CI"
ood.hin.ex.cos.bo8,0.7523,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"Exemplifier bo8, centred both sides"
ood.hin.corp10.cos,0.7850,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,
ood.hin.corp10.mtok,10,,,,,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,the size the arm's own scan reached
ood.hin.base.cos.bo8,0.2097,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,untrained base under the same injection (2026-09-16_base-control@vllm:paper0923)
ood.hin.base.bpb,1.2128,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,bits per byte of the arm's own text under the untrained base (precompute/nll.py)
ood.hin.ex.lid,0.703,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,fastText lid218e top-1 rollout; ceiling 0.629
ood.hin.corp10.lid,0.629,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"the classifier's rate on the arm's OWN corpus top-1 windows, i.e. its ceiling"
ood.jpn.diff.cos.bo8,0.0931,0.0046,0.0838,0.1022,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,bo8 centred minus own-domain corpus top-1; corpus at 10M
ood.jpn.diff.verdict,exceeds,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"three-state verdict on the bo8 pair, 10,000-resample percentile CI"
ood.jpn.ex.cos.bo8,0.7845,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"Exemplifier bo8, centred both sides"
ood.jpn.corp10.cos,0.6914,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,
ood.jpn.corp10.mtok,10,,,,,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,the size the arm's own scan reached
ood.jpn.base.cos.bo8,0.2038,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,untrained base under the same injection (2026-09-16_base-control@vllm:paper0923)
ood.jpn.base.bpb,0.8309,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,bits per byte of the arm's own text under the untrained base (precompute/nll.py)
ood.jpn.ex.lid,0.590,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,fastText lid218e top-1 rollout; ceiling 0.551
ood.jpn.corp10.lid,0.551,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"the classifier's rate on the arm's OWN corpus top-1 windows, i.e. its ceiling"
ood.rus.diff.cos.bo8,0.1314,0.0049,0.1217,0.1413,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,bo8 centred minus own-domain corpus top-1; corpus at 10M
ood.rus.diff.verdict,exceeds,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"three-state verdict on the bo8 pair, 10,000-resample percentile CI"
ood.rus.ex.cos.bo8,0.8026,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"Exemplifier bo8, centred both sides"
ood.rus.corp10.cos,0.6712,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,
ood.rus.corp10.mtok,10,,,,,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,the size the arm's own scan reached
ood.rus.base.cos.bo8,0.1953,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,untrained base under the same injection (2026-09-16_base-control@vllm:paper0923)
ood.rus.base.bpb,0.5232,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,bits per byte of the arm's own text under the untrained base (precompute/nll.py)
ood.rus.ex.lid,0.773,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,fastText lid218e top-1 rollout; ceiling 0.787
ood.rus.corp10.lid,0.787,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"the classifier's rate on the arm's OWN corpus top-1 windows, i.e. its ceiling"
ood.tha.diff.cos.bo8,-0.0486,0.0055,-0.0592,-0.0380,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,bo8 centred minus own-domain corpus top-1; corpus at 10M
ood.tha.diff.verdict,reversed,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"three-state verdict on the bo8 pair, 10,000-resample percentile CI"
ood.tha.ex.cos.bo8,0.7420,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"Exemplifier bo8, centred both sides"
ood.tha.corp10.cos,0.7906,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,
ood.tha.corp10.mtok,10,,,,,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,the size the arm's own scan reached
ood.tha.base.cos.bo8,0.2167,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,untrained base under the same injection (2026-09-16_base-control@vllm:paper0923)
ood.tha.base.bpb,1.0167,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,bits per byte of the arm's own text under the untrained base (precompute/nll.py)
ood.tha.ex.lid,0.779,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,fastText lid218e top-1 rollout; ceiling 0.722
ood.tha.corp10.lid,0.722,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"the classifier's rate on the arm's OWN corpus top-1 windows, i.e. its ceiling"
ood.arxiv.diff.cos.bo8,0.1358,0.0062,0.1239,0.1476,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,bo8 centred minus own-domain corpus top-1; corpus at 10M
ood.arxiv.diff.verdict,exceeds,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"three-state verdict on the bo8 pair, 10,000-resample percentile CI"
ood.arxiv.ex.cos.bo8,0.7891,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"Exemplifier bo8, centred both sides"
ood.arxiv.corp10.cos,0.6533,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,
ood.arxiv.corp10.mtok,10,,,,,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,the size the arm's own scan reached
ood.arxiv.base.cos.bo8,0.2038,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,untrained base under the same injection (2026-09-16_base-control@vllm:paper0923)
ood.arxiv.base.bpb,0.6590,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,bits per byte of the arm's own text under the untrained base (precompute/nll.py)
ood.arxiv.ex.lid,n/m,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,code_like not measurable on a rollout; rate 0.000 vs ceiling 0.013 on the arm's own corpus windows
ood.arxiv.corp10.lid,0.013,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"the classifier's rate on the arm's OWN corpus top-1 windows, i.e. its ceiling"
ood.isabelle.diff.cos.bo8,-0.0889,0.0051,-0.0990,-0.0788,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,bo8 centred minus own-domain corpus top-1; corpus at 10M
ood.isabelle.diff.verdict,reversed,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"three-state verdict on the bo8 pair, 10,000-resample percentile CI"
ood.isabelle.ex.cos.bo8,0.6821,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"Exemplifier bo8, centred both sides"
ood.isabelle.corp10.cos,0.7710,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,
ood.isabelle.corp10.mtok,10,,,,,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,the size the arm's own scan reached
ood.isabelle.base.cos.bo8,0.2218,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,untrained base under the same injection (2026-09-16_base-control@vllm:paper0923)
ood.isabelle.base.bpb,0.7448,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,bits per byte of the arm's own text under the untrained base (precompute/nll.py)
ood.isabelle.ex.lid,n/m,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,code_like not measurable on a rollout; rate 0.008 vs ceiling 0.025 on the arm's own corpus windows
ood.isabelle.corp10.lid,0.025,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"the classifier's rate on the arm's OWN corpus top-1 windows, i.e. its ceiling"
ood.lean.diff.cos.bo8,-0.0606,0.0054,-0.0709,-0.0502,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,bo8 centred minus own-domain corpus top-1; corpus at 10M
ood.lean.diff.verdict,reversed,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"three-state verdict on the bo8 pair, 10,000-resample percentile CI"
ood.lean.ex.cos.bo8,0.7317,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"Exemplifier bo8, centred both sides"
ood.lean.corp10.cos,0.7923,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,
ood.lean.corp10.mtok,10,,,,,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,the size the arm's own scan reached
ood.lean.base.cos.bo8,0.1998,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,untrained base under the same injection (2026-09-16_base-control@vllm:paper0923)
ood.lean.base.bpb,0.4810,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,bits per byte of the arm's own text under the untrained base (precompute/nll.py)
ood.lean.ex.lid,n/m,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,code_like not measurable on a rollout; rate 0.004 vs ceiling 0.070 on the arm's own corpus windows
ood.lean.corp10.lid,0.070,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"the classifier's rate on the arm's OWN corpus top-1 windows, i.e. its ceiling"
ood.owm.diff.cos.bo8,0.1722,0.0067,0.1593,0.1853,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,bo8 centred minus own-domain corpus top-1; corpus at 10M
ood.owm.diff.verdict,exceeds,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"three-state verdict on the bo8 pair, 10,000-resample percentile CI"
ood.owm.ex.cos.bo8,0.7731,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"Exemplifier bo8, centred both sides"
ood.owm.corp10.cos,0.6009,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,
ood.owm.corp10.mtok,10,,,,,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,the size the arm's own scan reached
ood.owm.base.cos.bo8,0.2053,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,untrained base under the same injection (2026-09-16_base-control@vllm:paper0923)
ood.owm.base.bpb,0.7097,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,bits per byte of the arm's own text under the untrained base (precompute/nll.py)
ood.owm.ex.lid,0.953,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,fastText lid218e top-1 rollout; ceiling 0.754
ood.owm.corp10.lid,0.754,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"the classifier's rate on the arm's OWN corpus top-1 windows, i.e. its ceiling"
ood.conj.diff.nexceed,12,,,,21,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"level-1 conjunction, 21 of 21 arms with a bo8 verdict"
ood.conj.diff.ninconcl,2,,,,21,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"level-1 conjunction, 21 of 21 arms with a bo8 verdict"
ood.conj.diff.nreversed,7,,,,21,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"level-1 conjunction, 21 of 21 arms with a bo8 verdict"
