family,sae_key,sae_side,source,maemm,engine,run_tag,stratum,n,n_features,gate,k,ratio_median,ratio_mean,ratio_se_iid,item_fired,feat_firing
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,0,64,128,1.584597,8,0.683964,0.688442,0.05951,0.60022,0.789062
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,0,64,128,1.584597,16,0.73349,0.727042,0.060741,0.60022,0.789062
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,0,64,128,1.584597,32,0.818317,0.766553,0.061862,0.60022,0.789062
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,0,64,128,1.584597,64,0.871386,0.8083,0.062779,0.60022,0.789062
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,1,64,128,1.584597,1,0.90793,0.887248,0.02431,0.969116,0.992188
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,1,64,128,1.584597,2,0.959289,0.951091,0.023759,0.969116,0.992188
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,1,64,128,1.584597,4,0.999071,1.00352,0.023331,0.969116,0.992188
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,1,64,128,1.584597,8,1.037176,1.047883,0.023042,0.969116,0.992188
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,1,64,128,1.584597,16,1.061281,1.083356,0.023306,0.969116,0.992188
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,1,64,128,1.584597,32,1.093871,1.114877,0.023783,0.969116,0.992188
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,1,64,128,1.584597,64,1.126544,1.148406,0.024105,0.969116,0.992188
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,2,64,128,1.584597,1,0.825506,0.812934,0.021883,0.973145,1.0
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,2,64,128,1.584597,2,0.893523,0.872804,0.022062,0.973145,1.0
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,2,64,128,1.584597,4,0.94004,0.921816,0.022043,0.973145,1.0
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,2,64,128,1.584597,8,0.97737,0.963722,0.022038,0.973145,1.0
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,2,64,128,1.584597,16,1.00359,1.001181,0.021906,0.973145,1.0
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,2,64,128,1.584597,32,1.030457,1.033684,0.021743,0.973145,1.0
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,2,64,128,1.584597,64,1.053972,1.064126,0.021717,0.973145,1.0
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,3,64,128,1.584597,1,0.769043,0.699784,0.023996,0.937256,0.992188
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,3,64,128,1.584597,2,0.824965,0.765065,0.023974,0.937256,0.992188
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,3,64,128,1.584597,4,0.873527,0.818884,0.023775,0.937256,0.992188
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,3,64,128,1.584597,8,0.907917,0.865507,0.023503,0.937256,0.992188
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,3,64,128,1.584597,16,0.947593,0.907123,0.022947,0.937256,0.992188
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,3,64,128,1.584597,32,0.983719,0.943206,0.02256,0.937256,0.992188
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,3,64,128,1.584597,64,1.014991,0.978343,0.022381,0.937256,0.992188
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,,64,512,1.584597,1,0.718495,0.627611,0.016363,0.832336,0.931641
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,,64,512,1.584597,2,0.77864,0.686518,0.017212,0.832336,0.931641
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,,64,512,1.584597,4,0.825646,0.737575,0.017847,0.832336,0.931641
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,,64,512,1.584597,8,0.864259,0.780582,0.018448,0.832336,0.931641
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,,64,512,1.584597,16,0.898207,0.818528,0.01892,0.832336,0.931641
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,,64,512,1.584597,32,0.931411,0.852626,0.019319,0.832336,0.931641
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,,64,512,1.584597,64,0.958315,0.886525,0.019849,0.832336,0.931641
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,0,64,128,1.584597,1,0.08934,0.345534,0.041824,0.497925,0.75
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,0,64,128,1.584597,2,0.121486,0.396543,0.045674,0.497925,0.75
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,0,64,128,1.584597,4,0.162305,0.444253,0.048917,0.497925,0.75
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,0,64,128,1.584597,8,0.222969,0.489354,0.052147,0.497925,0.75
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,0,64,128,1.584597,16,0.270955,0.526682,0.054414,0.497925,0.75
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,0,64,128,1.584597,32,0.323308,0.557654,0.055715,0.497925,0.75
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,0,64,128,1.584597,64,0.3735,0.601197,0.0583,0.497925,0.75
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,1,64,128,1.584597,1,0.806694,0.756167,0.027704,0.930908,0.992188
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,1,64,128,1.584597,2,0.859401,0.814802,0.028633,0.930908,0.992188
