family,source,row,feature,stratum,n,mean_cos,max_cos,bo_1,bo_2,bo_4,bo_8,bo_16,bo_32,bo_64,n_sae_gated
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,512,341,0,64,0.007364,0.029765,0.007364,0.010668,0.013305,0.017037,0.020503,0.023671,0.029765,4439
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,513,845,0,64,0.056088,0.100605,0.056088,0.064017,0.070504,0.080023,0.086687,0.097208,0.100605,4587
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,514,1437,0,64,0.138347,0.227373,0.138347,0.159666,0.17465,0.19021,0.208103,0.220274,0.227373,3888
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,515,3473,0,64,0.016542,0.031902,0.016542,0.018859,0.021234,0.023681,0.025669,0.02751,0.031902,3128
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,516,5439,0,64,0.194392,0.345307,0.194392,0.26135,0.29025,0.3132,0.324283,0.339896,0.345307,5332
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,517,5578,0,64,0.147768,0.197097,0.147768,0.166494,0.182076,0.186101,0.188967,0.192842,0.197097,4420
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,518,5585,0,64,0.016632,0.160734,0.016632,0.022294,0.029659,0.040693,0.05935,0.093218,0.160734,4831
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,519,8764,0,64,0.107095,0.273866,0.107095,0.156963,0.190853,0.21775,0.247603,0.25371,0.273866,6423
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,520,9891,0,64,0.069598,0.11469,0.069598,0.079055,0.085361,0.09523,0.101576,0.108341,0.11469,5723
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,521,10537,0,64,0.126863,0.156926,0.126863,0.137601,0.14393,0.148761,0.150472,0.15295,0.156926,4131
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,522,10941,0,64,0.053322,0.177175,0.053322,0.081543,0.101896,0.141927,0.170864,0.174486,0.177175,3878
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,523,12103,0,64,0.029647,0.109209,0.029647,0.035471,0.040866,0.047949,0.058808,0.078102,0.109209,5066
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,524,12788,0,64,0.017283,0.047359,0.017283,0.021347,0.025403,0.031394,0.033704,0.039125,0.047359,4654
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,525,14756,0,64,0.199026,0.229328,0.199026,0.209666,0.21881,0.224046,0.225901,0.227473,0.229328,6441
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,526,17587,0,64,0.004134,0.021638,0.004134,0.007694,0.011071,0.013991,0.017612,0.019773,0.021638,5008
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,527,17957,0,64,0.31536,0.337172,0.31536,0.323368,0.328221,0.331978,0.334354,0.33662,0.337172,3560
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,528,22675,0,64,0.227146,0.271181,0.227146,0.240051,0.247663,0.254781,0.261546,0.26493,0.271181,5474
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,529,23109,0,64,0.015163,0.03463,0.015163,0.020424,0.02251,0.02447,0.028111,0.032268,0.03463,4499
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,530,24800,0,64,0.022917,0.045897,0.022917,0.028755,0.033547,0.037852,0.041334,0.044839,0.045897,4773
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,531,25282,0,64,0.006085,0.036886,0.006085,0.010939,0.014976,0.018537,0.021038,0.026763,0.036886,5041
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,532,25418,0,64,0.128642,0.165,0.128642,0.143805,0.152415,0.157752,0.160894,0.163359,0.165,6504
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,533,28235,0,64,0.006864,0.018328,0.006864,0.010203,0.012708,0.014001,0.016338,0.018131,0.018328,4847
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,534,30036,0,64,0.019824,0.031627,0.019824,0.022826,0.024412,0.026386,0.028497,0.03142,0.031627,5069
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,535,31587,0,64,0.191529,0.222956,0.191529,0.197172,0.200698,0.204776,0.21065,0.216325,0.222956,6757
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,536,31805,0,64,0.14037,0.190308,0.14037,0.157596,0.168429,0.179046,0.181322,0.189083,0.190308,5585
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,537,32611,0,64,0.027615,0.087628,0.027615,0.032871,0.039687,0.049939,0.06445,0.083884,0.087628,5711
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,538,32728,0,64,-0.002947,0.009785,-0.002947,0.000121,0.003335,0.004826,0.00617,0.008043,0.009785,4488
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,539,32970,0,64,0.123411,0.16504,0.123411,0.146787,0.155706,0.159133,0.163707,0.164497,0.16504,7957
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,540,33178,0,64,0.049457,0.086855,0.049457,0.064152,0.073542,0.080039,0.085916,0.086756,0.086855,5029
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,541,35073,0,64,0.217807,0.268695,0.217807,0.232854,0.245219,0.249834,0.253978,0.259659,0.268695,7514
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,542,35165,0,64,0.032062,0.06398,0.032062,0.038613,0.045883,0.049846,0.05492,0.056108,0.06398,5549
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,543,36006,0,64,0.006985,0.022643,0.006985,0.012011,0.016147,0.018933,0.02193,0.02239,0.022643,5290
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,544,36879,0,64,0.184078,0.22628,0.184078,0.203577,0.20979,0.216421,0.22155,0.225621,0.22628,3920
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,545,37177,0,64,0.035424,0.153654,0.035424,0.052323,0.076941,0.10192,0.131292,0.144772,0.153654,5168
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,546,38187,0,64,0.17052,0.217994,0.17052,0.188523,0.198512,0.207194,0.211711,0.217034,0.217994,5287
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,547,40353,0,64,0.02825,0.062841,0.02825,0.032257,0.036835,0.042438,0.048094,0.054261,0.062841,4818
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,548,40533,0,64,0.008551,0.03342,0.008551,0.013123,0.017559,0.021915,0.02347,0.027518,0.03342,5074
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,549,41249,0,64,0.2186,0.268954,0.2186,0.226405,0.23365,0.240843,0.247409,0.254643,0.268954,6224
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,550,41328,0,64,0.048604,0.070786,0.048604,0.053929,0.058971,0.062866,0.068035,0.070169,0.070786,5870
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,551,42274,0,64,0.152567,0.267657,0.152567,0.17958,0.203072,0.22299,0.238429,0.255219,0.267657,5652
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,552,46526,0,64,0.282465,0.332359,0.282465,0.298001,0.310711,0.318075,0.324895,0.327741,0.332359,7494
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,553,48930,0,64,0.010445,0.026478,0.010445,0.01444,0.01768,0.019359,0.021187,0.024686,0.026478,3897
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,554,49460,0,64,-0.003516,0.009322,-0.003516,-0.00103,0.002233,0.006643,0.007611,0.008118,0.009322,5583
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,555,51211,0,64,0.003136,0.0136,0.003136,0.005079,0.006647,0.007971,0.009802,0.011553,0.0136,4753
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,556,51412,0,64,0.101331,0.222259,0.101331,0.139999,0.176014,0.19824,0.211862,0.218667,0.222259,3855
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,557,52114,0,64,0.019994,0.036606,0.019994,0.024163,0.028191,0.030527,0.034197,0.035328,0.036606,4888
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,558,53169,0,64,0.002935,0.024723,0.002935,0.007221,0.010777,0.01442,0.017103,0.020988,0.024723,5091
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,559,53478,0,64,0.093827,0.126674,0.093827,0.100591,0.108332,0.116408,0.118286,0.123319,0.126674,4928
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,560,55286,0,64,0.12341,0.187196,0.12341,0.144317,0.161699,0.176483,0.179693,0.181058,0.187196,6134
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,561,57091,0,64,0.183703,0.269027,0.183703,0.207911,0.222202,0.246544,0.261972,0.264363,0.269027,4429
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,562,58299,0,64,0.156785,0.198524,0.156785,0.167304,0.174724,0.183868,0.192097,0.195887,0.198524,5559
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,563,58746,0,64,0.103435,0.180957,0.103435,0.109769,0.116689,0.119396,0.12961,0.146027,0.180957,5041
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,564,59176,0,64,0.016689,0.199606,0.016689,0.026063,0.037852,0.052683,0.075801,0.120089,0.199606,5128
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,565,59240,0,64,0.085311,0.147284,0.085311,0.102232,0.114724,0.125913,0.132533,0.138832,0.147284,5254
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,566,60430,0,64,0.146375,0.246181,0.146375,0.182326,0.204081,0.219661,0.224812,0.236474,0.246181,5358
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,567,60809,0,64,0.201872,0.222185,0.201872,0.209018,0.214424,0.216988,0.219847,0.221428,0.222185,4472
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,568,60912,0,64,0.03957,0.171231,0.03957,0.058877,0.08808,0.131721,0.153608,0.165902,0.171231,5873
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,569,60937,0,64,0.115361,0.221193,0.115361,0.138533,0.16409,0.195102,0.212858,0.220962,0.221193,6341
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,570,61860,0,64,0.015274,0.027099,0.015274,0.018504,0.020901,0.022472,0.024534,0.027073,0.027099,5794
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,571,61994,0,64,0.178083,0.211899,0.178083,0.188485,0.198938,0.204063,0.207904,0.211572,0.211899,5505
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,572,62139,0,64,0.183891,0.216171,0.183891,0.188433,0.195321,0.201408,0.204762,0.208816,0.216171,4580
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,573,62219,0,64,0.202824,0.210119,0.202824,0.205526,0.207107,0.207906,0.208917,0.209343,0.210119,8717
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,574,65738,0,64,0.006364,0.021652,0.006364,0.009789,0.012832,0.015135,0.016393,0.018672,0.021652,5540
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,575,68028,0,64,0.193726,0.229076,0.193726,0.201328,0.207548,0.212305,0.214996,0.220967,0.229076,4941
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,576,68048,0,64,0.0629,0.091783,0.0629,0.069044,0.074527,0.080247,0.085117,0.091385,0.091783,5180
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,577,68739,0,64,0.214558,0.235457,0.214558,0.223343,0.227427,0.230017,0.232524,0.234722,0.235457,6282
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,578,69462,0,64,0.087046,0.137491,0.087046,0.10049,0.105915,0.110853,0.114856,0.126913,0.137491,4472
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,579,70291,0,64,0.05678,0.092907,0.05678,0.069653,0.076076,0.08183,0.084533,0.08873,0.092907,4330
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,580,70676,0,64,0.005842,0.021432,0.005842,0.008745,0.011549,0.01366,0.01609,0.018698,0.021432,4853
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,581,70703,0,64,0.104012,0.185361,0.104012,0.122968,0.139132,0.15681,0.179237,0.181921,0.185361,4860
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,582,72501,0,64,0.035055,0.059854,0.035055,0.042081,0.048561,0.053531,0.056375,0.058139,0.059854,5733
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,583,72747,0,64,0.03218,0.068217,0.03218,0.040954,0.04728,0.050379,0.055741,0.062372,0.068217,5553
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,584,73341,0,64,0.072736,0.165091,0.072736,0.09174,0.106712,0.128457,0.140787,0.153158,0.165091,4884
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,585,74000,0,64,0.128805,0.171984,0.128805,0.150255,0.15906,0.164078,0.167034,0.170735,0.171984,5993
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,586,76960,0,64,0.142381,0.207977,0.142381,0.161306,0.180886,0.200423,0.203451,0.205385,0.207977,6783
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,587,77047,0,64,0.160762,0.190223,0.160762,0.167687,0.173699,0.17808,0.18438,0.18758,0.190223,6173
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,588,77072,0,64,0.234659,0.319322,0.234659,0.287518,0.300672,0.314552,0.315484,0.318208,0.319322,5906
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,589,77287,0,64,0.131422,0.234438,0.131422,0.156936,0.178445,0.200391,0.21612,0.216728,0.234438,4099
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,590,77321,0,64,0.072105,0.097012,0.072105,0.0801,0.085024,0.089543,0.092183,0.094356,0.097012,6864
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,591,78133,0,64,0.140043,0.170774,0.140043,0.146313,0.153689,0.159962,0.164673,0.167158,0.170774,5111
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,592,79678,0,64,0.106207,0.149936,0.106207,0.130178,0.138037,0.14149,0.14475,0.149541,0.149936,5312
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,593,80343,0,64,0.19965,0.232992,0.19965,0.208601,0.215182,0.218484,0.222473,0.230975,0.232992,4687
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,594,81030,0,64,0.009396,0.081884,0.009396,0.016233,0.025839,0.037394,0.051492,0.073182,0.081884,5352
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,595,81655,0,64,0.028805,0.139269,0.028805,0.032277,0.039362,0.05026,0.066949,0.096316,0.139269,5530
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,596,81917,0,64,-0.004307,0.024178,-0.004307,-0.000472,0.004432,0.009806,0.015306,0.021632,0.024178,4892
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,597,82227,0,64,0.157606,0.213598,0.157606,0.167033,0.179474,0.188399,0.196848,0.205466,0.213598,5096
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,598,82549,0,64,0.011116,0.036053,0.011116,0.014728,0.017345,0.019884,0.022232,0.028582,0.036053,4345
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,599,82726,0,64,0.310244,0.346336,0.310244,0.321895,0.328408,0.335228,0.33891,0.343633,0.346336,4283
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,600,83581,0,64,0.203274,0.248611,0.203274,0.213905,0.223905,0.231649,0.238683,0.248271,0.248611,5293
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,601,85578,0,64,0.00901,0.024468,0.00901,0.012059,0.01438,0.016771,0.018296,0.020656,0.024468,4783
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,602,86271,0,64,0.187209,0.216077,0.187209,0.195346,0.200985,0.205143,0.209244,0.214215,0.216077,5904
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,603,88292,0,64,0.094403,0.13872,0.094403,0.104965,0.112263,0.116593,0.122286,0.130693,0.13872,5099
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,604,88470,0,64,0.02048,0.062965,0.02048,0.023867,0.026619,0.030035,0.035602,0.045473,0.062965,4771
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,605,90068,0,64,0.014399,0.028328,0.014399,0.017634,0.020719,0.023121,0.025874,0.027443,0.028328,5262
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,606,90903,0,64,0.137418,0.262136,0.137418,0.196996,0.244916,0.258658,0.259588,0.2612,0.262136,6369
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,607,92498,0,64,0.028622,0.063514,0.028622,0.035107,0.039527,0.046419,0.049634,0.057617,0.063514,5630
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,608,98321,0,64,0.195103,0.2471,0.195103,0.203415,0.221972,0.233369,0.241223,0.246878,0.2471,5504
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,609,99350,0,64,0.005641,0.017895,0.005641,0.008216,0.010351,0.012602,0.014715,0.01697,0.017895,4403
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,610,101569,0,64,0.013184,0.223259,0.013184,0.019397,0.028184,0.041729,0.069183,0.121404,0.223259,4242
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,611,103850,0,64,0.030784,0.070469,0.030784,0.038379,0.044975,0.051919,0.058488,0.064814,0.070469,4777
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,612,106213,0,64,0.232162,0.287789,0.232162,0.261874,0.271163,0.27696,0.283376,0.284975,0.287789,7013
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,613,106355,0,64,0.018413,0.045566,0.018413,0.025429,0.030866,0.036274,0.039992,0.043481,0.045566,5713
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,614,106916,0,64,0.080388,0.292917,0.080388,0.125411,0.168083,0.21079,0.236413,0.255446,0.292917,5309
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,615,108653,0,64,0.25809,0.284945,0.25809,0.265785,0.273662,0.276584,0.280774,0.28252,0.284945,6123
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,616,109995,0,64,0.015329,0.027479,0.015329,0.018068,0.021262,0.023833,0.025802,0.026452,0.027479,5214
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,617,110370,0,64,0.170432,0.199513,0.170432,0.176924,0.18135,0.184951,0.188162,0.192733,0.199513,5624
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,618,113402,0,64,0.012901,0.032311,0.012901,0.016602,0.020538,0.021862,0.025003,0.02905,0.032311,4522
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,619,113482,0,64,0.346916,0.382056,0.346916,0.353621,0.362029,0.371385,0.376047,0.377899,0.382056,4619
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,620,114197,0,64,0.149781,0.169387,0.149781,0.155156,0.157575,0.160363,0.162201,0.165205,0.169387,5017
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,621,116065,0,64,0.068849,0.236131,0.068849,0.100665,0.154625,0.205831,0.219113,0.236131,0.236131,4346
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,622,116422,0,64,0.28474,0.353346,0.28474,0.304257,0.316392,0.325051,0.334333,0.346199,0.353346,6258
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,623,117824,0,64,0.288714,0.326416,0.288714,0.299763,0.308723,0.312794,0.318307,0.324733,0.326416,4608
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,624,117932,0,64,0.013383,0.025395,0.013383,0.0162,0.0191,0.021557,0.022642,0.02322,0.025395,4276
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,625,118549,0,64,0.018298,0.033283,0.018298,0.023093,0.026416,0.029516,0.031763,0.032666,0.033283,5145
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,626,120409,0,64,0.087555,0.132299,0.087555,0.098709,0.106953,0.110993,0.119457,0.123689,0.132299,4500
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,627,120760,0,64,0.215955,0.251635,0.215955,0.228067,0.238082,0.242562,0.245487,0.247262,0.251635,5639
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,628,124524,0,64,0.056061,0.080719,0.056061,0.060305,0.063251,0.066903,0.071114,0.076465,0.080719,4966
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,629,124853,0,64,-0.002187,0.009622,-0.002187,0.001029,0.002992,0.005116,0.006175,0.007661,0.009622,5234
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,630,125183,0,64,0.058628,0.093206,0.058628,0.066556,0.07293,0.078982,0.084702,0.091426,0.093206,5469
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,631,125536,0,64,0.105434,0.152525,0.105434,0.125221,0.14296,0.146138,0.147538,0.15248,0.152525,3988
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,632,125821,0,64,0.140854,0.153789,0.140854,0.144266,0.146449,0.148612,0.150229,0.151705,0.153789,6455
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,633,125917,0,64,0.013126,0.027587,0.013126,0.016728,0.019323,0.02155,0.024642,0.027473,0.027587,4897
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,634,125951,0,64,0.284911,0.311556,0.284911,0.291481,0.297912,0.302634,0.307364,0.308237,0.311556,4374
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,635,126424,0,64,0.049542,0.111031,0.049542,0.057792,0.068253,0.077791,0.090816,0.101827,0.111031,5928
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,636,127341,0,64,0.022135,0.039731,0.022135,0.025239,0.027277,0.029209,0.032245,0.034589,0.039731,4345
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,637,127940,0,64,0.006512,0.024796,0.006512,0.010431,0.013496,0.017711,0.019377,0.021906,0.024796,4795
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,638,128256,0,64,0.014774,0.029863,0.014774,0.018606,0.02162,0.024208,0.026829,0.027189,0.029863,4789
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,639,130807,0,64,0.125623,0.144467,0.125623,0.130243,0.134231,0.137134,0.139762,0.141745,0.144467,7504
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,640,2760,1,64,0.224258,0.318087,0.224258,0.23662,0.249505,0.269804,0.284603,0.305734,0.318087,4299
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,641,3278,1,64,0.250975,0.285646,0.250975,0.260967,0.272451,0.277158,0.280565,0.282206,0.285646,4631
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,642,3446,1,64,0.193036,0.207752,0.193036,0.196856,0.199695,0.20238,0.204974,0.207635,0.207752,5000
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,643,4156,1,64,0.102365,0.160647,0.102365,0.123379,0.135207,0.142498,0.14564,0.153603,0.160647,6300
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,644,4484,1,64,0.217566,0.269639,0.217566,0.226725,0.235338,0.243812,0.2555,0.26233,0.269639,5091
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,645,5688,1,64,0.224957,0.307107,0.224957,0.243917,0.258076,0.269807,0.281009,0.29065,0.307107,4390
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,646,6480,1,64,0.267414,0.31384,0.267414,0.282601,0.29082,0.294967,0.303062,0.309339,0.31384,5161
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,647,10191,1,64,0.228571,0.259898,0.228571,0.235164,0.237988,0.244203,0.249414,0.255615,0.259898,5869
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,648,10648,1,64,0.229826,0.261623,0.229826,0.238211,0.244036,0.24737,0.250838,0.253772,0.261623,6481
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,649,10764,1,64,0.18194,0.210479,0.18194,0.187077,0.189889,0.194267,0.199412,0.203783,0.210479,4342
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,650,12211,1,64,0.300288,0.38282,0.300288,0.341816,0.355918,0.371491,0.37733,0.381946,0.38282,5807
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,651,13766,1,64,0.282464,0.303125,0.282464,0.287843,0.291413,0.295641,0.298752,0.301219,0.303125,4803
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,652,16469,1,64,0.180247,0.227391,0.180247,0.193901,0.204215,0.210502,0.214495,0.224414,0.227391,4417
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,653,19009,1,64,0.175042,0.238105,0.175042,0.187867,0.198523,0.206147,0.211741,0.224332,0.238105,4935
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,654,27680,1,64,0.094138,0.166023,0.094138,0.115222,0.129481,0.138737,0.149101,0.153788,0.166023,5097
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,655,27832,1,64,0.17452,0.188966,0.17452,0.177077,0.180474,0.182142,0.184445,0.186339,0.188966,4343
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,656,28248,1,64,0.115927,0.187867,0.115927,0.137864,0.149685,0.160102,0.168189,0.170617,0.187867,5050
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,657,28258,1,64,0.208501,0.238517,0.208501,0.218945,0.228562,0.231343,0.235841,0.238196,0.238517,4642
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,658,28912,1,64,0.087886,0.146361,0.087886,0.101201,0.112517,0.122253,0.13064,0.139552,0.146361,5196
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,659,29243,1,64,0.152424,0.231124,0.152424,0.165591,0.177273,0.18518,0.202152,0.21589,0.231124,4657
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,660,29501,1,64,0.156219,0.17594,0.156219,0.161315,0.164608,0.166753,0.169003,0.172297,0.17594,4536
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,661,30010,1,64,0.171518,0.190494,0.171518,0.178404,0.181692,0.185505,0.188869,0.190211,0.190494,5105
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,662,30874,1,64,0.150321,0.177789,0.150321,0.158471,0.165584,0.169515,0.173701,0.176185,0.177789,5337
