set,family,arm,source,cosine,n,n_rows,n_clusters,bo_source,k,mean,se_cluster,se_iid
2026-09-21_v3_ours,realact,2026-09-10_rl-8x2048-full@vllm:mu-stats,2026-09-10_rl-8x2048-full@vllm:mu-stats,cos_centred,64,506,506,cos_centred.f16 (recomputed),64,0.864857,0.00426,0.004233
2026-09-21_v3_ours,realact,2026-09-10_rl-8x2048-full@vllm:mu-stats,2026-09-10_rl-8x2048-full@vllm:mu-stats,cos_raw,64,506,506,per_target.jsonl,1,0.890477,0.002991,0.002979
2026-09-21_v3_ours,realact,2026-09-10_rl-8x2048-full@vllm:mu-stats,2026-09-10_rl-8x2048-full@vllm:mu-stats,cos_raw,64,506,506,per_target.jsonl,2,0.906117,0.002794,0.002787
2026-09-21_v3_ours,realact,2026-09-10_rl-8x2048-full@vllm:mu-stats,2026-09-10_rl-8x2048-full@vllm:mu-stats,cos_raw,64,506,506,per_target.jsonl,4,0.91546,0.00264,0.002634
2026-09-21_v3_ours,realact,2026-09-10_rl-8x2048-full@vllm:mu-stats,2026-09-10_rl-8x2048-full@vllm:mu-stats,cos_raw,64,506,506,per_target.jsonl,8,0.922147,0.00251,0.002509
2026-09-21_v3_ours,realact,2026-09-10_rl-8x2048-full@vllm:mu-stats,2026-09-10_rl-8x2048-full@vllm:mu-stats,cos_raw,64,506,506,per_target.jsonl,16,0.927023,0.002403,0.002401
2026-09-21_v3_ours,realact,2026-09-10_rl-8x2048-full@vllm:mu-stats,2026-09-10_rl-8x2048-full@vllm:mu-stats,cos_raw,64,506,506,per_target.jsonl,32,0.93104,0.002308,0.002308
2026-09-21_v3_ours,realact,2026-09-10_rl-8x2048-full@vllm:mu-stats,2026-09-10_rl-8x2048-full@vllm:mu-stats,cos_raw,64,506,506,per_target.jsonl,64,0.93444,0.002245,0.002246
2026-09-21_v3_ours,realact,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_centred,64,506,506,cos_centred.f16 (recomputed),1,0.76679,0.005385,0.005375
2026-09-21_v3_ours,realact,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_centred,64,506,506,cos_centred.f16 (recomputed),2,0.795761,0.00498,0.00498
2026-09-21_v3_ours,realact,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_centred,64,506,506,cos_centred.f16 (recomputed),4,0.815726,0.00465,0.004658
2026-09-21_v3_ours,realact,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_centred,64,506,506,cos_centred.f16 (recomputed),8,0.830048,0.004391,0.004412
2026-09-21_v3_ours,realact,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_centred,64,506,506,cos_centred.f16 (recomputed),16,0.841008,0.004175,0.004206
2026-09-21_v3_ours,realact,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_centred,64,506,506,cos_centred.f16 (recomputed),32,0.849781,0.00402,0.004053
2026-09-21_v3_ours,realact,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_centred,64,506,506,cos_centred.f16 (recomputed),64,0.857259,0.003876,0.003919
2026-09-21_v3_ours,realact,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_raw,64,506,506,per_target.jsonl,1,0.888361,0.002775,0.002785
2026-09-21_v3_ours,realact,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_raw,64,506,506,per_target.jsonl,2,0.902713,0.00255,0.002562
2026-09-21_v3_ours,realact,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_raw,64,506,506,per_target.jsonl,4,0.912645,0.002358,0.00237
2026-09-21_v3_ours,realact,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_raw,64,506,506,per_target.jsonl,8,0.919735,0.002203,0.002223
2026-09-21_v3_ours,realact,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_raw,64,506,506,per_target.jsonl,16,0.925076,0.002083,0.002107
2026-09-21_v3_ours,realact,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_raw,64,506,506,per_target.jsonl,32,0.929329,0.002,0.002028
2026-09-21_v3_ours,realact,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_raw,64,506,506,per_target.jsonl,64,0.933033,0.001918,0.00195
2026-09-21_v3_realact,realact,2026-09-10_rl-8x2048-full@vllm:mu-none,2026-09-10_rl-8x2048-full@vllm:mu-none,cos_raw,64,486,425,per_target.jsonl,1,0.883008,0.003116,0.003007
2026-09-21_v3_realact,realact,2026-09-10_rl-8x2048-full@vllm:mu-none,2026-09-10_rl-8x2048-full@vllm:mu-none,cos_raw,64,486,425,per_target.jsonl,2,0.897131,0.002926,0.002805
2026-09-21_v3_realact,realact,2026-09-10_rl-8x2048-full@vllm:mu-none,2026-09-10_rl-8x2048-full@vllm:mu-none,cos_raw,64,486,425,per_target.jsonl,4,0.906955,0.002744,0.00263
2026-09-21_v3_realact,realact,2026-09-10_rl-8x2048-full@vllm:mu-none,2026-09-10_rl-8x2048-full@vllm:mu-none,cos_raw,64,486,425,per_target.jsonl,8,0.91418,0.002586,0.002482
2026-09-21_v3_realact,realact,2026-09-10_rl-8x2048-full@vllm:mu-none,2026-09-10_rl-8x2048-full@vllm:mu-none,cos_raw,64,486,425,per_target.jsonl,16,0.919616,0.002463,0.002368
2026-09-21_v3_realact,realact,2026-09-10_rl-8x2048-full@vllm:mu-none,2026-09-10_rl-8x2048-full@vllm:mu-none,cos_raw,64,486,425,per_target.jsonl,32,0.923953,0.002358,0.00227
2026-09-21_v3_realact,realact,2026-09-10_rl-8x2048-full@vllm:mu-none,2026-09-10_rl-8x2048-full@vllm:mu-none,cos_raw,64,486,425,per_target.jsonl,64,0.927773,0.002282,0.002192
2026-09-21_v3_realact,realact,2026-09-10_rl-8x2048-full@vllm:mu-stats,2026-09-10_rl-8x2048-full@vllm:mu-stats,cos_centred,64,486,425,cos_centred.f16 (recomputed),1,0.771315,0.00615,0.005835
2026-09-21_v3_realact,realact,2026-09-10_rl-8x2048-full@vllm:mu-stats,2026-09-10_rl-8x2048-full@vllm:mu-stats,cos_centred,64,486,425,cos_centred.f16 (recomputed),2,0.799141,0.005841,0.005532
2026-09-21_v3_realact,realact,2026-09-10_rl-8x2048-full@vllm:mu-stats,2026-09-10_rl-8x2048-full@vllm:mu-stats,cos_centred,64,486,425,cos_centred.f16 (recomputed),4,0.8177,0.005523,0.00522
2026-09-21_v3_realact,realact,2026-09-10_rl-8x2048-full@vllm:mu-stats,2026-09-10_rl-8x2048-full@vllm:mu-stats,cos_centred,64,486,425,cos_centred.f16 (recomputed),8,0.831722,0.005226,0.004935
2026-09-21_v3_realact,realact,2026-09-10_rl-8x2048-full@vllm:mu-stats,2026-09-10_rl-8x2048-full@vllm:mu-stats,cos_centred,64,486,425,cos_centred.f16 (recomputed),16,0.842464,0.004981,0.004711
2026-09-21_v3_realact,realact,2026-09-10_rl-8x2048-full@vllm:mu-stats,2026-09-10_rl-8x2048-full@vllm:mu-stats,cos_centred,64,486,425,cos_centred.f16 (recomputed),32,0.851323,0.004779,0.004524
2026-09-21_v3_realact,realact,2026-09-10_rl-8x2048-full@vllm:mu-stats,2026-09-10_rl-8x2048-full@vllm:mu-stats,cos_centred,64,486,425,cos_centred.f16 (recomputed),64,0.858854,0.004629,0.004379
2026-09-21_v3_realact,realact,2026-09-10_rl-8x2048-full@vllm:mu-stats,2026-09-10_rl-8x2048-full@vllm:mu-stats,cos_raw,64,486,425,per_target.jsonl,1,0.888123,0.003187,0.003077
2026-09-21_v3_realact,realact,2026-09-10_rl-8x2048-full@vllm:mu-stats,2026-09-10_rl-8x2048-full@vllm:mu-stats,cos_raw,64,486,425,per_target.jsonl,2,0.902413,0.002996,0.00288
2026-09-21_v3_realact,realact,2026-09-10_rl-8x2048-full@vllm:mu-stats,2026-09-10_rl-8x2048-full@vllm:mu-stats,cos_raw,64,486,425,per_target.jsonl,4,0.911869,0.002824,0.002704
2026-09-21_v3_realact,realact,2026-09-10_rl-8x2048-full@vllm:mu-stats,2026-09-10_rl-8x2048-full@vllm:mu-stats,cos_raw,64,486,425,per_target.jsonl,8,0.918794,0.002678,0.002556
2026-09-21_v3_realact,realact,2026-09-10_rl-8x2048-full@vllm:mu-stats,2026-09-10_rl-8x2048-full@vllm:mu-stats,cos_raw,64,486,425,per_target.jsonl,16,0.924134,0.002556,0.00244
2026-09-21_v3_realact,realact,2026-09-10_rl-8x2048-full@vllm:mu-stats,2026-09-10_rl-8x2048-full@vllm:mu-stats,cos_raw,64,486,425,per_target.jsonl,32,0.92853,0.002445,0.002343
2026-09-21_v3_realact,realact,2026-09-10_rl-8x2048-full@vllm:mu-stats,2026-09-10_rl-8x2048-full@vllm:mu-stats,cos_raw,64,486,425,per_target.jsonl,64,0.932153,0.00237,0.002277
2026-09-21_v3_realact,realact,2026-07-14_nla-av,2026-07-14_nla-av,cos_raw,4,486,425,per_target.jsonl,1,0.807495,0.002886,0.002935
2026-09-21_v3_realact,realact,2026-07-14_nla-av,2026-07-14_nla-av,cos_raw,4,486,425,per_target.jsonl,2,0.826094,0.003009,0.00305
2026-09-21_v3_realact,realact,2026-07-14_nla-av,2026-07-14_nla-av,cos_raw,4,486,425,per_target.jsonl,4,0.842357,0.003099,0.003144
2026-09-21_v3_realact,realact,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_centred,64,486,425,cos_centred.f16 (recomputed),1,0.758968,0.006044,0.005845
