doc,coverage_n7,coverage_n13
422,0,0
423,0.016949,0
424,0.00161,0
425,0.003896,0
426,0,0
427,0.003003,0
428,0,0
429,0.005797,0
430,0.007384,0
431,0,0
432,0,0
433,0.003058,0
434,0,0
435,0.016393,0
436,0.076687,0.039291
437,0.024876,0.010101
438,0,0
439,0,0
440,0.008403,0
441,0,0
442,0.025194,0.018807
443,0,0
444,0,0
445,0,0
446,0,0
447,0,0
448,0.000646,0
449,0.00146,0
450,0.008459,0
451,0,0
452,0,0
453,0,0
454,0,0
455,0,0
456,0.572985,0.514349
457,0,0
458,0.003953,0
459,0.003937,0
460,0.006757,0
461,0,0
462,0.002011,0
463,0,0
464,0,0
465,0,0
466,0,0
467,0.001604,0
468,0,0
469,0.004831,0
470,0.040153,0.014
471,0.001689,0
472,0,0
473,0,0
474,0,0
475,0.579146,0.511095
476,0.002193,0
477,0,0
478,0.001361,0
479,0.02043,0.014069
480,0,0
481,0,0
482,0.001754,0
483,0,0
484,0.001172,0
485,0,0
486,0,0
487,0.013378,0
488,0,0
489,0.005808,0
490,0,0
491,0.003657,0
492,0,0
493,0.000962,0
494,0.003205,0
495,0,0
496,0,0
497,0,0
498,0.020513,0.005208
499,0.011236,0
500,0,0
501,0,0
502,0,0
503,0,0
504,0.005168,0
505,0,0
506,0,0
507,0.007557,0
508,0.001936,0
509,0,0
510,0,0
511,0.001563,0
512,0.002751,0
513,0,0
514,0,0
515,0,0
516,0.00768,0
517,0,0
518,0,0
519,0,0
520,0,0
521,0,0
522,0,0
523,0.010499,0.006846
524,0.001825,0
525,0,0
526,0.002227,0
527,0,0
528,0.008292,0
529,0.004545,0
530,0.005682,0
531,0.037288,0.013841
532,0.003697,0
533,0,0
534,0.001109,0
535,0,0
536,0,0
537,0.201681,0.159483
538,0.00316,0
539,0.006061,0
540,0,0
541,0.011722,0.007548
542,0,0
543,0.002,0
544,0,0
545,0.01,0
546,0,0
547,0,0
548,0.012821,0
549,0,0
550,0.001446,0
551,0,0
552,0.003038,0
553,0,0
554,0.030556,0.002825
555,0.002861,0
556,0.000677,0
557,0.002237,0
558,0.005992,0
559,0,0
560,0.021277,0
561,0,0
562,0,0
563,0,0
564,0,0
565,0,0
566,0,0
567,0.001616,0
568,0,0
569,0,0
570,0.003317,0
571,0,0
572,0.004313,0
573,0,0
574,0,0
575,0,0
576,0,0
577,0,0
578,0.001565,0
579,0,0
580,0.402985,0.295082
581,0,0
582,0.004016,0
583,0.075362,0.058997
584,0,0
585,0,0
586,0,0
587,0.005556,0
588,0.037559,0.009524
589,0,0
590,0,0
591,0,0
592,0.003263,0
593,0.008889,0
594,0,0
595,0,0
596,0.007422,0
597,0,0
598,0,0
599,0.090909,0
600,0,0
601,0,0
602,0,0
603,0,0
604,0.001931,0
605,0,0
606,0,0
607,0,0
608,0.002016,0
609,0,0
610,0,0
611,0.003745,0
612,0.172956,0.083333
613,0,0
614,0,0
615,0,0
616,0,0
617,0.002584,0
618,0.004777,0
619,0.011765,0
620,0,0
621,0.020408,0
622,0,0
623,0,0
624,0.18652,0.132911
625,0.007782,0
626,0,0
627,0,0
628,0.015945,0
629,0.000861,0
630,0.002899,0
631,0,0
632,0.001172,0
633,0,0
634,0,0
635,0,0
636,0.007519,0
637,0,0
638,0,0
639,0.00729,0
640,0,0
641,0.003185,0
642,0.000833,0
643,0,0
644,0.005917,0
645,0,0
646,0.005141,0
647,0.012185,0
648,0,0
649,0,0
650,0.00101,0
651,0,0
652,0,0
653,0,0
654,0.003252,0
655,0.003401,0
656,0,0
657,0.010444,0
658,0,0
659,0,0
660,0,0
661,0.120968,0.066116
662,0,0
663,0.003623,0
664,0,0
665,0,0
666,0,0
667,0.022444,0
668,0.003181,0
669,0.013425,0.008279
670,0,0
671,0.006061,0
672,0,0
673,0,0
674,0,0
675,0,0
676,0.002304,0
677,0,0
678,0,0
679,0,0
680,0,0
681,0,0
682,0.000684,0
683,0.011928,0
684,0,0
685,0,0
686,0.006711,0
687,0.009346,0
688,0.003448,0
689,0.007212,0
690,0.024119,0.003752
691,0,0
692,0.005364,0
693,0.302947,0.271296
694,0,0
695,0.902655,0.815742
696,0,0
697,0.000085,0
698,0.006623,0
699,0,0
700,0.009288,0
701,0.004545,0
702,0.002548,0
703,0,0
704,0,0
705,0.004155,0
706,0,0
707,0,0
708,0,0
709,0,0
710,0.179012,0.141745
711,0,0
712,0,0
713,0,0
714,0.069672,0.008403
715,0,0
716,0.082418,0.022346
717,0,0
718,0.005128,0
719,0.015267,0
720,0,0
721,0.121835,0.113419
722,0.001748,0
723,0.016529,0
724,0.005769,0
725,0,0
726,0.001057,0
727,0.017115,0
728,0,0
729,0.068182,0.029412
730,0,0
731,0.005376,0
732,0.002273,0
733,0.048604,0.008325
734,0,0
735,0,0
736,0,0
737,0,0
738,0.003601,0
739,0.00059,0
740,0.171233,0.111888
741,0,0
742,0,0
743,0.283186,0.263636
744,0.001285,0
745,0,0
746,0.018362,0
747,0.006525,0
748,0.008056,0.001403
749,0.263158,0.223404
750,0,0
751,0,0
752,0,0
753,0,0
754,0.025773,0
755,0,0
756,0.002387,0
757,0,0
758,0.003401,0
759,0.012987,0
760,0,0
761,0.002833,0
762,0,0
763,0,0
764,0.011869,0
765,0,0
766,0,0
767,0,0
768,0.004292,0
769,0.00348,0
770,0.00616,0
771,0.06621,0.041667
772,0.0047,0.001572
773,0.005291,0
774,0.002012,0
775,0,0
776,0.005797,0
777,0.000652,0
778,0.002762,0
779,0.004082,0
780,0.001938,0
781,0.010345,0.006482
782,0.00174,0
783,0.027202,0.016971
784,0,0
785,0,0
786,0,0
787,0.000902,0
788,0,0
789,0,0
790,0,0
791,0,0
792,0,0
793,0,0
794,0.002431,0
795,0,0
796,0,0
797,0,0
798,0.031746,0
799,0,0
800,0,0
801,0.002053,0
802,0,0
803,0,0
804,0.001727,0
805,0,0
806,0.003326,0
807,0,0
808,0.004608,0
809,0,0
810,0,0
811,0.888679,0.818702
812,0,0
813,0.018845,0
814,0.193182,0.134146
815,0.009174,0
816,0.01073,0
817,0,0
818,0,0
819,0.002393,0
820,0.009494,0
821,0,0
822,0,0
